2025-06-21 10:07:40 - Order events [contract=BTCUSDT, order_id=4575603730, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:48 - Order events [contract=BTCUSDT, order_id=4575603821, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.051, canceled_reason=None]
2025-06-21 10:07:48 - Order events [contract=BTCUSDT, order_id=4575603911, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.044, canceled_reason=None]
2025-06-21 10:07:49 - Order events [contract=BTCUSDT, order_id=4575604086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.002, canceled_reason=None]
2025-06-21 10:07:49 - Order events [contract=BTCUSDT, order_id=4575604086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:49 - Order events [contract=BTCUSDT, order_id=4575604086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:49 - Order events [contract=BTCUSDT, order_id=4575604086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:49 - Order events [contract=BTCUSDT, order_id=4575604086, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:51 - Order events [contract=BTCUSDT, order_id=4575604415, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-21 10:07:51 - Order events [contract=BTCUSDT, order_id=4575604415, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=103417.2, last_filled_qty=0.002, canceled_reason=None]
