2025-06-18 22:48:36 - Order events [contract=BTCUSDT, order_id=4555736506, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=105026.7, last_filled_qty=0.066, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.001, canceled_reason=None]
2025-06-18 22:48:39 - Order events [contract=BTCUSDT, order_id=4555737114, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.3, last_filled_qty=0.018, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.006, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.006, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.005, canceled_reason=None]
2025-06-18 22:48:40 - Order events [contract=BTCUSDT, order_id=4555737483, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104930.2, last_filled_qty=0.004, canceled_reason=None]
2025-06-18 22:48:42 - Order events [contract=BTCUSDT, order_id=4555737970, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.059, canceled_reason=None]
2025-06-18 22:48:44 - Order events [contract=BTCUSDT, order_id=4555738274, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.057, canceled_reason=None]
2025-06-18 22:48:45 - Order events [contract=BTCUSDT, order_id=4555738777, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.055, canceled_reason=None]
2025-06-18 22:48:47 - Order events [contract=BTCUSDT, order_id=4555739533, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.053, canceled_reason=None]
2025-06-18 22:48:49 - Order events [contract=BTCUSDT, order_id=4555739842, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.051, canceled_reason=None]
2025-06-18 22:48:50 - Order events [contract=BTCUSDT, order_id=4555740213, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104880.8, last_filled_qty=0.049, canceled_reason=None]
2025-06-18 22:48:52 - Order events [contract=BTCUSDT, order_id=4555740611, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104794.5, last_filled_qty=0.047, canceled_reason=None]
2025-06-18 22:48:54 - Order events [contract=BTCUSDT, order_id=4555741052, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104794.5, last_filled_qty=0.045, canceled_reason=None]
2025-06-18 22:48:55 - Order events [contract=BTCUSDT, order_id=4555741679, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.044, canceled_reason=None]
2025-06-18 22:48:57 - Order events [contract=BTCUSDT, order_id=4555742019, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.7, last_filled_qty=0.014, canceled_reason=None]
2025-06-18 22:48:57 - Order events [contract=BTCUSDT, order_id=4555742019, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.028, canceled_reason=None]
2025-06-18 22:48:59 - Order events [contract=BTCUSDT, order_id=4555742358, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.041, canceled_reason=None]
2025-06-18 22:49:00 - Order events [contract=BTCUSDT, order_id=4555742504, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.039, canceled_reason=None]
2025-06-18 22:49:02 - Order events [contract=BTCUSDT, order_id=4555742851, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.038, canceled_reason=None]
2025-06-18 22:49:04 - Order events [contract=BTCUSDT, order_id=4555743270, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.036, canceled_reason=None]
2025-06-18 22:49:06 - Order events [contract=BTCUSDT, order_id=4555743558, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.035, canceled_reason=None]
2025-06-18 22:49:09 - Order events [contract=BTCUSDT, order_id=4555744178, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104804.8, last_filled_qty=0.034, canceled_reason=None]
2025-06-18 22:49:11 - Order events [contract=BTCUSDT, order_id=4555744348, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104805.9, last_filled_qty=0.018, canceled_reason=None]
2025-06-18 22:49:11 - Order events [contract=BTCUSDT, order_id=4555744348, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104806.1, last_filled_qty=0.015, canceled_reason=None]
2025-06-18 22:49:15 - Order events [contract=BTCUSDT, order_id=4555745440, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104802.0, last_filled_qty=0.031, canceled_reason=None]
2025-06-18 22:49:17 - Order events [contract=BTCUSDT, order_id=4555745719, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=104801.6, last_filled_qty=0.03, canceled_reason=None]
